id,tipo,temp_ar_kelvin,temp_processo_kelvin,velocidade_rotacao_rpm,torque_nm,tipo_falha
446,1,297.5,308.6,1793,26.7,1
7076,1,300.7,310.5,1536,47.4,1
1191,1,297.2,308.4,1460,42.1,1
2618,1,299.4,309.1,1670,35.9,1
5067,1,304.1,313.1,1550,30.9,1
191,1,298.2,308.4,1477,49.9,1
2601,1,299.3,309.0,1422,47.3,1
3300,1,301.3,310.5,1390,45.8,1
6729,1,301.5,310.9,1891,23.2,1
4824,1,303.5,311.9,1493,38.7,1
6848,1,301.2,311.4,1757,28.0,1
1238,2,297.1,308.4,1502,37.3,1
199,1,298.4,308.7,1588,35.0,1
3703,1,302.0,311.2,1434,44.9,1
6984,2,300.7,311.0,1334,53.9,1
3601,1,301.7,310.5,1523,34.7,1
1737,1,298.4,307.9,1544,35.9,1
6992,1,300.8,311.1,1509,33.4,1
9921,0,298.5,308.7,1450,43.9,1
5593,1,302.5,311.9,1437,46.7,1
2910,1,300.7,309.6,1500,44.1,1
8041,1,300.8,311.9,1498,39.3,1
8525,1,298.3,309.4,1468,46.2,1
4475,1,302.7,310.5,1563,35.0,1
7611,2,300.5,311.3,1507,43.4,1
2405,2,299.1,308.7,2008,20.3,1
9048,1,297.3,308.4,1488,37.4,1
146,1,298.5,308.4,1513,33.6,1
2049,1,299.3,309.2,1465,41.5,1
2964,2,300.7,309.6,1439,43.0,1
8868,1,297.9,308.9,1566,41.9,1
9211,2,297.9,309.0,2456,13.9,1
8598,1,297.6,308.3,1410,47.0,1
1123,1,296.5,307.6,1541,38.5,1
3894,1,302.3,311.2,1549,40.6,1
5175,2,304.2,313.5,1390,47.8,1
2477,0,298.9,308.4,1449,42.4,1
5531,2,302.3,311.8,1355,50.1,1
7916,0,300.8,312.1,1527,35.1,1
5441,0,303.0,312.5,1698,30.0,1
5764,0,301.8,311.2,1451,39.4,1
3779,2,302.4,311.1,1366,54.4,1
8844,0,297.3,308.8,1564,38.0,1
4227,1,302.1,310.8,1596,37.1,1
7525,1,300.2,311.5,1639,31.1,1
3002,1,300.5,309.8,1445,43.9,1
6076,1,301.0,310.9,1813,28.5,1
7154,1,300.2,310.0,1493,47.3,1
1108,2,296.7,307.5,1515,42.1,1
5754,1,302.2,311.6,1416,54.1,1
7020,1,300.8,310.8,1741,27.1,1
4094,2,302.0,310.5,1573,32.1,1
